Transaction_ID,Account Holder,Transaction_Date,Amount,Beneficiary
8681734,David,2022-07-10,1306.88,Ivy
3874885,Frank,2022-12-11,7184.61,Alice
3106630,David,2021-10-28,9813.01,Hannah
5889845,Alice,2025-04-16,303.85,Charlie
2624297,Emma,2022-04-23,6292.58,Emma
9890005,Jack,2020-05-05,1755.93,Grace
9034843,Frank,2023-04-15,1971.17,Grace
7557192,Bob,2024-03-21,8445.07,David
5599795,Emma,2025-06-02,4299.16,Emma
4322235,Emma,2025-03-21,1457.67,Ivy
2310506,Bob,2020-08-15,832.63,Charlie
1412971,David,2022-06-06,3777.88,Emma
4594692,Grace,2023-03-23,4326.28,Hannah
9931897,Charlie,2023-02-12,6571.43,Hannah
2248364,David,2020-02-16,9754.15,Jack
4153395,Grace,2023-12-23,9019.58,David
6480228,David,2022-02-21,5813.22,Charlie
9478200,Emma,2021-12-31,5177.79,Alice
3368652,Frank,2022-06-16,5135.98,David
7794313,Charlie,2023-03-29,8873.31,Grace
4787632,Frank,2022-05-06,8276.31,Alice
6316386,Grace,2020-05-30,5743.17,Alice
4692881,Bob,2024-10-15,4261.31,Charlie
8594028,Bob,2025-04-06,5019.33,Emma
8876641,David,2022-10-13,1257.15,Bob
2783453,Ivy,2023-04-17,7021.75,Bob
3935334,Hannah,2024-10-28,8582.55,Alice
3273129,Alice,2020-02-29,4850.66,Frank
4576985,Charlie,2024-03-23,9673.46,David
8660381,Grace,2022-04-18,1412.2,Alice
3752923,Hannah,2023-07-19,6123.42,Bob
3197293,Grace,2022-04-04,4992.16,Charlie
3907848,Jack,2022-09-03,4245.85,Emma
1115934,David,2025-02-24,9528.95,Hannah
8468251,Ivy,2022-07-22,1283.22,Bob
6166422,Alice,2021-10-28,8147.09,Emma
2169162,Bob,2025-06-10,3898.79,Bob
3855108,Grace,2024-01-30,8563.17,Grace
3432317,Hannah,2024-03-22,8970.98,Jack
4044550,Charlie,2023-01-02,8905.85,Alice
8676479,Bob,2020-03-22,9262.35,Jack
2832013,Bob,2023-08-07,4206.71,Bob
4806095,Charlie,2023-05-11,7001.47,Grace
9569929,Jack,2023-03-26,635.22,Bob
5506405,Charlie,2024-12-24,2150.61,David
9698374,Hannah,2022-12-11,1840.5,Ivy
7570875,Charlie,2021-06-23,4733.7,Alice
2516707,Frank,2024-04-19,6291.89,Bob
3062945,Bob,2022-05-21,312.76,Ivy
5744861,Alice,2023-08-09,1888.77,Charlie
3734116,Charlie,2023-04-08,2162.63,Emma
1722881,Alice,2021-10-30,9145.56,Emma
1820035,Ivy,2022-09-06,637.67,Hannah
8328850,Hannah,2022-02-21,6416.09,Charlie
8912540,Jack,2020-06-29,2199.11,Bob
1151166,Jack,2021-03-23,8340.99,Bob
6012597,Bob,2025-04-11,149.65,Grace
3597198,Charlie,2023-08-25,5177.18,Emma
2415013,Hannah,2020-08-16,730.17,Grace
6319592,Frank,2022-07-27,8581.86,Frank
1029762,Bob,2021-12-12,3442.12,Emma
4429354,Frank,2023-02-06,7877.47,David
4109431,Ivy,2024-01-24,408.58,Emma
1591872,Emma,2020-09-25,1622.16,Ivy
4915768,Alice,2022-09-19,1790.23,Hannah
7377510,Grace,2021-04-03,524.23,David
4371478,Charlie,2021-11-03,5308.61,David
2070523,Charlie,2020-06-02,9652.96,Bob
9004591,Jack,2025-05-18,945.82,Ivy
5252874,Hannah,2024-03-14,1654.07,Grace
9475548,Charlie,2022-07-12,8482.92,Bob
3007832,Frank,2022-07-24,9119.11,Hannah
7864409,Bob,2023-02-03,2506.71,Hannah
6590034,Grace,2024-08-17,9811.08,Charlie
6237307,Hannah,2021-04-29,8672.53,Ivy
4249129,Bob,2021-09-30,1344.55,Bob
3759825,Charlie,2024-12-21,5268.89,Hannah
2185535,Frank,2022-03-06,9418.85,Charlie
9386520,Hannah,2021-09-12,9575.36,Frank
8258250,Hannah,2020-01-11,1797.69,Hannah
8350606,Bob,2020-05-28,2832.81,Jack
3298568,Frank,2021-10-26,8228.13,David
9348265,Hannah,2021-09-19,4574.76,Jack
8442335,Jack,2025-01-27,5802.05,Jack
4637071,Hannah,2021-11-02,966.72,Jack
9861052,Jack,2024-01-15,2635.99,Jack
6307908,Hannah,2024-12-28,4570.51,Grace
3969142,Bob,2021-07-20,1445.72,Charlie
2576318,Frank,2021-01-30,3162.39,Charlie
